name,sn_type,mean_mag,median_mag,std_mag,mag_range,amplitude,skewness,kurtosis,n_observations,time_span,median_cadence,linear_trend,trend_strength,mean_abs_diff,max_abs_diff,std_abs_diff,beyond_1st_magnitude,autocorr
SN2006bo,IIn,18.331852459016396,18.14,0.9853344138887093,5.899000000000001,2.7448999999999977,1.549947640506177,4.193123408115837,183,149.0199999999968,0.0,0.027591588446516453,0.549114474722302,0.6346208791208792,4.347000000000001,0.6470072134755045,183,0.5647840537685734
SN2013ej,II,14.84853499222395,14.305,2.26750272651838,9.629999999999999,7.065999999999997,0.7082607194418009,-0.5113087761778607,1929,1356.690999999999,0.001999999993131496,0.013461712288077821,0.43700271323127876,1.0959906639004149,7.309999999999999,1.0976227697738943,1929,0.7659989634206782
SN2012aw,II P,15.041097736057427,13.58,2.6349901265955546,9.559999999999999,8.2345,1.1932338929966184,0.135128520607684,1811,881.8269999999975,0.0,0.008118907185312397,0.29317229629990366,0.9669116022099449,7.2280000000000015,1.23695030603058,1811,0.8222063169268984
SN2020jfo,II P,16.872999999999998,16.955,1.6270774413038855,4.879999999999999,4.4929999999999986,-0.11262928441765122,-1.199540696100192,10,264.9991900000023,18.25358000000415,0.017264243503467645,0.8825766032651715,0.5422222222222222,1.9899999999999984,0.7037325530148787,10,0.0
SN2014G,IIn,15.58218344370861,15.176,1.3033423859538609,5.818999999999999,4.115699999999999,0.7640284755646508,-0.30376123307292957,302,559.5699999999997,0.0,0.01332719905766003,0.36391736086182,0.7766810631229238,3.916000000000002,0.7454103672172906,302,0.6599681241256004
SN2013L,IIn,16.63188321167883,16.334,1.3537267946434652,6.186,4.215199999999999,0.2469870355146386,-0.5422246032699682,137,1015.8444000000018,0.0017000000007101335,0.0022221790641073665,0.21044596645405703,0.7855588235294116,5.864999999999998,0.820396351168373,137,0.6455877292644085
SN2010jl,IIn,14.471276754032257,14.160499999999999,1.47281303189659,10.700000000000001,4.787999999999997,1.8975383613771386,5.669475700987684,992,1986.849000000002,0.0,0.0014492643697662014,0.05919752161514927,0.6883272896064583,9.179999999999998,0.9014262003202448,992,0.7004283807659916
SN2005ip,IIn,16.836628428927682,16.956,1.42901630504678,9.252,4.344999999999999,-0.5988475836586911,1.0279646675319878,401,3544.6399999999994,0.0,-0.0002036994029898917,0.005861523966728074,0.8715275000000001,7.7219999999999995,0.9904468507919796,401,0.5704998398842731
SN2009ip,IIn,16.459588235294117,16.43,2.611872273814758,9.989,8.1246,0.1915201686857457,-1.1459750571335154,1615,2543.4000000000015,0.0,-0.0011151298361945627,0.015987220536840978,0.7400520446096654,4.749999999999998,0.7077094068037186,1615,0.9231728057300873
SN2014J,Ia,13.228356758853938,12.6175,2.668365943617202,12.325,9.527149999999999,1.0401204281145768,0.44494547819714825,1524,457.8199999999997,0.0,0.011890816006948335,0.06913138653595227,1.6263106858189849,10.613,1.7272923019771285,1524,0.6044902584445278
SN2008fq,II,16.268383838383837,16.1555,1.4420379182665761,7.757999999999999,4.465850000000001,0.8709786764256043,1.0645766957729466,198,1167.7099999999991,0.0,0.0011940602046843448,0.009188988056624868,1.0934619289340104,5.420999999999999,1.1095021999975148,198,0.4189387316345494
SN2011fe,Ia,13.616818941934925,13.364,2.7105086985768074,12.59,8.186399999999992,0.692256468852147,0.20684305939859549,3473,1474.6209999999992,0.0011999999987892807,0.009642937327447148,0.153833971826683,0.8738104705483871,5.455,1.2595121221978547,3473,0.8397304032966354
SN2004et,II,14.38500647668394,13.415,2.504066808526536,13.3,7.287549999999996,0.8978891875546888,0.16990983648044455,772,2143.5,0.0,0.006456630680056326,0.40872696800610403,1.3891206225680937,7.656000000000001,1.1614379185423074,772,0.7387851333536594
SN2006gy,II,15.74875352112676,15.72,1.2218391323347373,5.647500000000001,3.5669999999999984,0.9793368385516541,1.3390397493724935,71,210.6800000000003,2.0050000000010186,0.007393926183052551,0.12098092983972794,0.6698142857142859,5.354000000000001,0.9928415323541554,71,0.5050691366465947
SN2016bdu,IIn,18.956491666666665,19.90435,1.6677298289682756,4.4731999999999985,4.056519999999999,-0.24384680047224733,-1.7133247027410028,12,90.88002614070137,0.014311547201941721,-0.04764584252703013,0.9850038478110142,0.43775454545454484,2.7347,0.760729242675183,12,0.8809961821859348
SN2010mc,IIn,20.395318596491226,20.953,1.3381560794831369,5.282999999999998,4.147725999999995,-1.2458511650995867,0.37630521949576723,114,2109.6089999999967,1.995999999999185,-0.0012617423714662635,0.11708377163484607,0.46189061946902665,3.344000000000001,0.47702823394350813,114,0.8746590855027226
SN2006jc,Ibn,17.09113770913771,16.529,2.2662347083294274,11.381,6.685599999999997,0.566142232407267,-0.5045087707580946,777,418.5,0.001999999996769475,0.025424229011646027,0.27587895709170485,1.1531134020618556,8.158000000000001,1.423384340017837,777,0.6731898447997734
SN2019zrk,IIn,19.42833333333333,19.14,0.6436204022731268,1.509999999999998,1.5025000000000013,0.5816340049248127,-1.4998464671485374,6,52.15026999999827,0.07400000000052387,0.02948575333840279,0.9767852356182459,0.3019999999999996,1.1499999999999986,0.43650429551151027,6,0.0
SN2010al,Ibn,17.331848888888892,16.777,1.478034549832569,6.402000000000001,4.395900000000001,0.587227866946056,-0.7853710078993648,225,70.64358999999968,0.0029999999969732016,0.08944343163690398,0.7198907428293544,0.7274642857142857,2.881999999999998,0.6968801303920237,225,0.7665669584124919
